# Tsang & Jones fit to French et al. as a function of pressure.
# The pressure profile is taken for a 1 MJ planet with no irradiation and no Ohmic heating at ~5 Gyr.
#
# INDEX       RADIUS [RP]          PRESSURE        SIGMA1_LOG      SIGMA1_TSANG
      1   0.100000000E+01   0.370490251E+06   0.142443068E+12   0.100597442E+06
      2   0.999999998E+00   0.370495580E+06   0.142443086E+12   0.100597495E+06
      3   0.999999994E+00   0.370505418E+06   0.142443127E+12   0.100597615E+06
      4   0.999999987E+00   0.370519766E+06   0.142443194E+12   0.100597814E+06
      5   0.999999978E+00   0.370544362E+06   0.142443284E+12   0.100598081E+06
      6   0.999999960E+00   0.370581255E+06   0.142443464E+12   0.100598613E+06
      7   0.999999937E+00   0.370622249E+06   0.142443688E+12   0.100599279E+06
      8   0.999999914E+00   0.370683738E+06   0.142443913E+12   0.100599944E+06
      9   0.999999868E+00   0.370806718E+06   0.142444362E+12   0.100601275E+06
     10   0.999999777E+00   0.371052677E+06   0.142445260E+12   0.100603936E+06
     11   0.999999595E+00   0.371626582E+06   0.142447056E+12   0.100609255E+06
     12   0.999999139E+00   0.372446447E+06   0.142451539E+12   0.100622536E+06
     13   0.999998684E+00   0.373676248E+06   0.142456013E+12   0.100635793E+06
     14   0.999997778E+00   0.376135858E+06   0.142464936E+12   0.100662236E+06
     15   0.999995975E+00   0.381874989E+06   0.142482683E+12   0.100714841E+06
     16   0.999991526E+00   0.390073894E+06   0.142526478E+12   0.100844750E+06
     17   0.999987158E+00   0.402372466E+06   0.142569487E+12   0.100972453E+06
     18   0.999978652E+00   0.418771120E+06   0.142653275E+12   0.101221584E+06
     19   0.999970432E+00   0.435170313E+06   0.142734302E+12   0.101462954E+06
     20   0.999962474E+00   0.456469568E+06   0.142812790E+12   0.101697173E+06
     21   0.999950257E+00   0.476119625E+06   0.142933360E+12   0.102057773E+06
     22   0.999944357E+00   0.489219972E+06   0.142991630E+12   0.102232394E+06
     23   0.999938585E+00   0.508870946E+06   0.143048651E+12   0.102403491E+06
     24   0.999927402E+00   0.535073416E+06   0.143159199E+12   0.102735821E+06
     25   0.999916655E+00   0.561277013E+06   0.143265519E+12   0.103056212E+06
     26   0.999906300E+00   0.587481696E+06   0.143368033E+12   0.103365851E+06
     27   0.999896299E+00   0.613687427E+06   0.143467106E+12   0.103665767E+06
     28   0.999886621E+00   0.639894172E+06   0.143563053E+12   0.103956851E+06
     29   0.999877236E+00   0.676369987E+06   0.143656152E+12   0.104239886E+06
     30   0.999861154E+00   0.711430168E+06   0.143815833E+12   0.104726700E+06
     31   0.999853393E+00   0.734804347E+06   0.143892956E+12   0.104962440E+06
     32   0.999845803E+00   0.758179237E+06   0.143968422E+12   0.105193506E+06
     33   0.999838371E+00   0.781554821E+06   0.144042344E+12   0.105420217E+06
     34   0.999831089E+00   0.816619218E+06   0.144114824E+12   0.105642867E+06
     35   0.999816935E+00   0.863374396E+06   0.144255799E+12   0.106076947E+06
     36   0.999803268E+00   0.910132129E+06   0.144392044E+12   0.106497746E+06
     37   0.999790032E+00   0.956892339E+06   0.144524125E+12   0.106906893E+06
     38   0.999777188E+00   0.991964298E+06   0.144652413E+12   0.107305432E+06
     39   0.999770903E+00   0.101534619E+07   0.144715226E+12   0.107500977E+06
     40   0.999764705E+00   0.105158153E+07   0.144777194E+12   0.107694157E+06
     41   0.999751964E+00   0.110067224E+07   0.144904671E+12   0.108092386E+06
     42   0.999739567E+00   0.117431196E+07   0.145028817E+12   0.108481279E+06
     43   0.999715713E+00   0.124795871E+07   0.145267992E+12   0.109233502E+06
     44   0.999704214E+00   0.129705880E+07   0.145383421E+12   0.109597948E+06
     45   0.999692979E+00   0.134616110E+07   0.145496299E+12   0.109955232E+06
     46   0.999681991E+00   0.139526555E+07   0.145606776E+12   0.110305769E+06
     47   0.999671237E+00   0.147136320E+07   0.145714986E+12   0.110649937E+06
     48   0.999649365E+00   0.154868650E+07   0.145935308E+12   0.111353200E+06
