#              Age:              Teq:             Mass:            R_RCB:            P_RCB:
#   0.503865159E+10   0.000000000E+00   0.183841434E+31   0.717193044E+10   0.956892339E+06
# INDEX       RADIUS [RJ]       RADIUS [RP]           DENSITY          PRESSURE       TEMPERATURE           ENTROPY           GRAVITY              MASS             DMASS           CHI_RHO             CHI_T           GAMMA_1           GAMMA_3            SIGMA1            SIGMA2        EPS_JOULE1        EPS_JOULE2             V_ATM        SIGMA1_LOG        SIGMA1_EYE      SIGMA1_TSANG        SIGMA1_INT        LUMINOSITY        EXTRA_HEAT        IRRAD_HEAT
# COL 1                 2                 3                 4                 5                 6                 7                 8                 9                10                11                12                13                14                15                16                17                18                19                20                21                22                23                24                25                26
      1   0.100339012E+01   0.100000000E+01   0.104931004E-03   0.370490251E+06   0.984777027E+02   0.450950774E+09   0.238448498E+04   0.183841434E+31   0.889346333E+18   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142443068E+12   0.601775759E-97   0.000000000E+00               NaN   0.000000000E+00   0.142443068E+12   0.000000000E+00   0.100597442E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
      2   0.100339012E+01   0.999999998E+00   0.104932324E-03   0.370495580E+06   0.984778798E+02   0.450950420E+09   0.238448499E+04   0.183841434E+31   0.200102925E+19   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142443086E+12   0.602063482E-97   0.000000000E+00               NaN   0.000000000E+00   0.142443086E+12   0.000000000E+00   0.100597495E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
      3   0.100339011E+01   0.999999994E+00   0.104934762E-03   0.370505418E+06   0.984782066E+02   0.450949765E+09   0.238448501E+04   0.183841434E+31   0.333504875E+19   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142443127E+12   0.602595030E-97   0.000000000E+00               NaN   0.000000000E+00   0.142443127E+12   0.000000000E+00   0.100597615E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
      4   0.100339010E+01   0.999999987E+00   0.104938318E-03   0.370519766E+06   0.984786834E+02   0.450948811E+09   0.238448505E+04   0.183841434E+31   0.444673167E+19   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142443194E+12   0.603371057E-97   0.000000000E+00               NaN   0.000000000E+00   0.142443194E+12   0.000000000E+00   0.100597814E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
      5   0.100339010E+01   0.999999978E+00   0.104944413E-03   0.370544362E+06   0.984795006E+02   0.450947175E+09   0.238448509E+04   0.183841434E+31   0.889346333E+19   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142443284E+12   0.604703736E-97   0.000000000E+00               NaN   0.000000000E+00   0.142443284E+12   0.000000000E+00   0.100598081E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
      6   0.100339008E+01   0.999999960E+00   0.104953555E-03   0.370581255E+06   0.984807266E+02   0.450944721E+09   0.238448518E+04   0.183841434E+31   0.111168292E+20   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142443464E+12   0.606708354E-97   0.000000000E+00               NaN   0.000000000E+00   0.142443464E+12   0.000000000E+00   0.100598613E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
      7   0.100339005E+01   0.999999937E+00   0.104963713E-03   0.370622249E+06   0.984820889E+02   0.450941995E+09   0.238448529E+04   0.183841434E+31   0.111168292E+20   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142443688E+12   0.608943610E-97   0.000000000E+00               NaN   0.000000000E+00   0.142443688E+12   0.000000000E+00   0.100599279E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
      8   0.100339003E+01   0.999999914E+00   0.104978949E-03   0.370683738E+06   0.984841326E+02   0.450937907E+09   0.238448539E+04   0.183841434E+31   0.222336583E+20   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142443913E+12   0.612312075E-97   0.000000000E+00               NaN   0.000000000E+00   0.142443913E+12   0.000000000E+00   0.100599944E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
      9   0.100338999E+01   0.999999868E+00   0.105009419E-03   0.370806718E+06   0.984882205E+02   0.450929734E+09   0.238448561E+04   0.183841434E+31   0.444673167E+20   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142444362E+12   0.619105594E-97   0.000000000E+00               NaN   0.000000000E+00   0.142444362E+12   0.000000000E+00   0.100601275E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
     10   0.100338989E+01   0.999999777E+00   0.105070347E-03   0.371052677E+06   0.984963990E+02   0.450913403E+09   0.238448605E+04   0.183841434E+31   0.889346333E+20   0.100000000E+01   0.100000000E+01   0.166666667E+01   0.166666667E+01   0.142445260E+12   0.632921977E-97   0.000000000E+00               NaN   0.000000000E+00   0.142445260E+12   0.000000000E+00   0.100603936E+06   0.684731417E+06   0.344847281E+25   0.000000000E+00   0.000000000E+00
