# Tsang & Jones fit to French et al. as a function of pressure.
# The pressure profile is taken for a 1 MJ planet with no irradiation and no Ohmic heating at ~5 Gyr.
#
#      INDEX          RADIUS [RP]            PRESSURE [cgs]               SIGMA [cgs]
           1  0.99336357900000005        823616392.00000000        684731.41700000002     
           2  0.99325193800000000        863282917.00000000        707119.45400000003     
           3  0.99313852499999999        904821671.00000000        730609.92599999998     
           4  0.99302330500000002        948319805.00000000        755271.13000000000     
           5  0.99290624400000005        993868466.00000000        781176.44900000002     
           6  0.99278730400000004        1041562980.0000000        808404.80599999998     
           7  0.99266644599999998        1091503030.0000000        837041.14399999997     
           8  0.99254363199999995        1143792870.0000000        867176.93900000001     
           9  0.99241882199999998        1198541530.0000000        898910.75199999998     
          10  0.99229197300000005        1255863020.0000000        932348.89099999995     
          11  0.99216304300000002        1315876520.0000000        967606.09299999999     
          12  0.99203198999999997        1378706690.0000000        1004806.2300000000     
          13  0.99189876799999999        1444483850.0000000        1044083.0900000000     
          14  0.99176333200000000        1513344220.0000000        1085581.2300000000     
          15  0.99162563699999995        1585430250.0000000        1129457.0200000000     
          16  0.99148563599999995        1660890800.0000000        1175879.8100000001     
          17  0.99134328199999999        1739881530.0000000        1225033.1499999999     
          18  0.99119852399999997        1822565110.0000000        1277116.2600000000     
          19  0.99105131300000004        1909111570.0000000        1332345.4600000000     
          20  0.99090159799999999        1999698640.0000000        1390956.0300000000     
          21  0.99074932400000004        2094512070.0000000        1453203.9500000000     
          22  0.99059443800000002        2193745990.0000000        1519368.1100000001     
          23  0.99043688399999996        2297603310.0000000        1589752.6000000001     
          24  0.99027660200000001        2406296040.0000000        1664689.3999999999     
          25  0.99011353499999999        2520045780.0000000        1744541.3500000001     
          26  0.98994762100000000        2639084080.0000000        1829705.3100000001     
          27  0.98977879700000004        2763652910.0000000        1920615.7300000000     
          28  0.98960699900000004        2894005130.0000000        2017748.5900000001     
          29  0.98943216099999998        3030404910.0000000        2121626.0000000000     
          30  0.98925421599999996        3173128300.0000000        2232821.3999999999     
          31  0.98907309399999999        3322463740.0000000        2351965.3100000001     
          32  0.98888872500000002        3478712580.0000000        2479752.1499999999     
          33  0.98870103399999998        3642189690.0000000        2616947.6499999999     
          34  0.98850994400000003        3813224040.0000000        2764397.2900000000     
          35  0.98831537599999997        3992159330.0000000        2923035.7400000002     
          36  0.98811724899999998        4179354670.0000000        3093897.2200000002     
          37  0.98791547800000001        4375185210.0000000        3278127.3599999999     
